"Name","FullName","DirectoryName","Length","LastWriteTime"
"PHASE 6.1 API GATEWAY CERTIFICATION - Sertifikasyon.md","E:\home\ProjeDoc_FINAL\phases-roadmap\PHASE 6.1 API GATEWAY CERTIFICATION - Sertifikasyon.md","E:\home\ProjeDoc_FINAL\phases-roadmap","808","13.09.2026 14:26:59"
"PHASE 6.2 INTERACTIVE EXPLORER CERTIFICATION - Sertifikasyon.md","E:\home\ProjeDoc_FINAL\phases-roadmap\PHASE 6.2 INTERACTIVE EXPLORER CERTIFICATION - Sertifikasyon.md","E:\home\ProjeDoc_FINAL\phases-roadmap","1003","13.09.2026 14:27:11"
"PHASES- Faz Detayları.md","E:\home\ProjeDoc_FINAL\phases-roadmap\PHASES- Faz Detayları.md","E:\home\ProjeDoc_FINAL\phases-roadmap","4026","14.09.2026 14:23:47"
"PHASES.md","E:\home\ProjeDoc_FINAL\phases-roadmap\PHASES.md","E:\home\ProjeDoc_FINAL\phases-roadmap","101","18.09.2026 23:23:20"
"PROJECT_ROADMAP.md - Çerkesçe Sözlük Teknik Dokümantasyonu.md","E:\home\ProjeDoc_FINAL\phases-roadmap\PROJECT_ROADMAP.md - Çerkesçe Sözlük Teknik Dokümantasyonu.md","E:\home\ProjeDoc_FINAL\phases-roadmap","8757","13.09.2026 14:17:19"
"PROJECT_STATUS.md","E:\home\ProjeDoc_FINAL\phases-roadmap\PROJECT_STATUS.md","E:\home\ProjeDoc_FINAL\phases-roadmap","2826","14.09.2026 14:23:56"
"PROJECT_SUMMARY.md - Proje Özeti.md","E:\home\ProjeDoc_FINAL\phases-roadmap\PROJECT_SUMMARY.md - Proje Özeti.md","E:\home\ProjeDoc_FINAL\phases-roadmap","921","13.09.2026 14:17:24"
"SECURITY.md","E:\home\ProjeDoc_FINAL\security\SECURITY.md","E:\home\ProjeDoc_FINAL\security","3980","16.08.2026 23:51:51"
"ProjeYolHaritası.md","E:\home\ProjeDoc_FINAL\technical\ProjeYolHaritası.md","E:\home\ProjeDoc_FINAL\technical","5370","13.09.2026 18:23:10"
"AGENTS.md","E:\home\ProjeDoc_FINAL\AGENTS.md","E:\home\ProjeDoc_FINAL","310","18.09.2026 22:40:07"
"CLEANUP-DUPLICATES-DOCUMENTATION.md","E:\home\ProjeDoc_FINAL\CLEANUP-DUPLICATES-DOCUMENTATION.md","E:\home\ProjeDoc_FINAL","8079","13.09.2026 15:52:12"
"DECISIONS.md","E:\home\ProjeDoc_FINAL\DECISIONS.md","E:\home\ProjeDoc_FINAL","272","18.09.2026 22:40:07"
"PHASE4_MEMORY.md","E:\home\ProjeDoc_FINAL\PHASE4_MEMORY.md","E:\home\ProjeDoc_FINAL","345","18.09.2026 22:22:19"
"PHASES.md","E:\home\ProjeDoc_FINAL\PHASES.md","E:\home\ProjeDoc_FINAL","131","18.09.2026 22:40:07"
"POWERSHELL-SCRIPT-GUIDE.md","E:\home\ProjeDoc_FINAL\POWERSHELL-SCRIPT-GUIDE.md","E:\home\ProjeDoc_FINAL","7514","13.09.2026 15:42:32"
"PROJECT_STATUS.md","E:\home\ProjeDoc_FINAL\PROJECT_STATUS.md","E:\home\ProjeDoc_FINAL","277","18.09.2026 22:40:07"
"ROADMAP.md","E:\home\ProjeDoc_FINAL\ROADMAP.md","E:\home\ProjeDoc_FINAL","176","18.09.2026 22:40:07"
"SOFTWARE-FILES-INFO.md","E:\home\ProjeDoc_FINAL\SOFTWARE-FILES-INFO.md","E:\home\ProjeDoc_FINAL","224","11.09.2026 16:31:41"
